frame,landmark,x,y,z,visibility
0,0,-0.24619616893696605,1.325018577861017,-0.2351826901510573,0.9995110034942628
1,0,-0.24906206789134955,1.32257823024661,-0.22763660317081572,0.9995350241661072
2,0,-0.2515153226828462,1.319324556315646,-0.22494011526596278,0.9995455741882324
3,0,-0.2557922816417936,1.3133900638023692,-0.21960859309591427,0.9995406866073608
4,0,-0.25976687571340196,1.3079969637571014,-0.21432904653916723,0.9995356798171996
5,0,-0.26357521604768064,1.3034668936536957,-0.20745220915617152,0.9995471239089966
6,0,-0.26611043089975805,1.2995088845368885,-0.20363569445627255,0.999548077583313
7,0,-0.2685124841987848,1.296766039683214,-0.1960950953666405,0.9995481371879578
8,0,-0.27119017290388403,1.294281520559958,-0.1875036496091577,0.999555766582489
9,0,-0.27447548109586073,1.2908855348125108,-0.17998757719161254,0.9995626211166382
10,0,-0.2793159625624869,1.2856419822413536,-0.17244049415925986,0.9995667338371276
11,0,-0.28616521793359717,1.2788121969339326,-0.164366041542967,0.9995591044425964
12,0,-0.2951069204648883,1.2706072870517207,-0.15530119690151586,0.9995571970939636
13,0,-0.30652678601076266,1.261444866192234,-0.14435756396619692,0.9995482563972472
14,0,-0.3205254707067922,1.2518179910520602,-0.1301349607246236,0.9995279908180236
15,0,-0.3357625768449402,1.2425644002552576,-0.11650402430303455,0.9995152354240416
16,0,-0.35127577979788216,1.2339748927911054,-0.1048612365427997,0.9994980096817015
17,0,-0.3665266020784266,1.2268078662496766,-0.09641478058414502,0.9994990825653076
18,0,-0.3805961140724216,1.2205355863360108,-0.09131839699786612,0.999483048915863
19,0,-0.3920219650425685,1.2161740731035255,-0.09164427094978511,0.9994571208953856
20,0,-0.40115994000797767,1.2140310160099657,-0.09703345126286664,0.9994583129882812
21,0,-0.4091354137917612,1.2131349329526508,-0.10761806989917869,0.9994593262672424
22,0,-0.4161344064495817,1.2126358720270685,-0.12115446112929254,0.9993689656257628
23,0,-0.4222804985109624,1.2141893137383466,-0.1380472239630513,0.999317467212677
24,0,-0.4291753417163533,1.2170723228120983,-0.15744136072593617,0.9992333054542542
25,0,-0.43566235308287726,1.2213900102124238,-0.1750660032263081,0.9991702437400818
26,0,-0.4408268505201197,1.2290229546289175,-0.18876014993519125,0.9990922808647156
27,0,-0.4428667627951053,1.2408038204254273,-0.19997084345383026,0.999005913734436
28,0,-0.44030629840654967,1.255393516740679,-0.20679968423969877,0.9988922476768494
29,0,-0.43262158929071803,1.2720619633955401,-0.20693763245908378,0.9985960721969604
30,0,-0.42125419088121496,1.2898956134013617,-0.2018437461010217,0.998501479625702
